permno,fyear,EXECID,grantdate,val,security,ret,retlag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo,val_lag,time
12570,2008,26006,20080701,8.507112754,0,0.035355608,0.18562313,10.37672874,6.231173705,4.866366278,0.099068447,1.696010422,9.354761011,0.181999136,0.104562584,8.422778551,16
12570,2008,26006,20080310,7.021924714,1,-0.172648096,0.021613479,10.37672874,6.231173705,4.866366278,0.099068447,1.696010422,9.354761011,0.181999136,0.104562584,7.20424077,16
12570,2009,26006,20090701,8.220119152,0,-0.269290687,0.035355608,9.942665534,5.79672727,5.627111551,0.475270518,1.505379955,9.257338455,0.136080569,0.096124715,8.507112754,17
12570,2009,26006,20090305,7.306316656,1,-0.268297057,-0.172648096,9.942665534,5.79672727,5.627111551,0.475270518,1.505379955,9.257338455,0.136080569,0.096124715,7.021924714,17
12570,2010,26006,20100701,8.340067393,0,-0.049687015,-0.269290687,10.18125396,6.045246673,5.741526792,0.436909655,1.468963888,9.317408429,0.092107741,0.120961432,8.220119152,18
12570,2010,26006,20100305,7.807827633,1,0.387887227,-0.268297057,10.18125396,6.045246673,5.741526792,0.436909655,1.468963888,9.317408429,0.092107741,0.120961432,7.306316656,18
12570,2011,26006,20110701,8.351439624,0,0.129287273,-0.049687015,10.4793926,6.263603313,5.9592606,0.613429124,1.408686284,9.428591977,0.077905445,0.111509466,8.340067393,19
12570,2011,26006,20110303,7.538652416,1,0.116840936,0.387887227,10.4793926,6.263603313,5.9592606,0.613429124,1.408686284,9.428591977,0.077905445,0.111509466,7.807827633,19
15579,1993,929,19930701,7.218774864,1,0.63551478,0.231989005,9.369552551,5.099311497,4.622871811,0.48177346,1.40948474,8.553717966,0.131770183,0.159912158,0,1
15579,1994,929,19940701,4.957586073,0,0.067002519,0.63551478,9.769196065,5.507541226,4.654408238,0.443056273,1.575985233,8.698514248,0.095819116,0.180135005,0,2
15579,1994,929,19940701,7.554443737,1,0.067002519,0.63551478,9.769196065,5.507541226,4.654408238,0.443056273,1.575985233,8.698514248,0.095819116,0.180135005,7.218774864,2
15579,1995,929,19950701,7.663080693,1,0.875793629,0.067002519,10.05570609,5.780766891,4.377173533,0.749284845,1.558111264,8.852235835,0.075300931,0.25563157,7.554443737,3
15579,1997,5709,19970701,8.457569315,1,1.525486908,-0.476933133,8.958682269,4.592844489,3.664422515,0.324718119,1.858079995,9.144307401,0.115630343,0.087249051,7.211764105,5
15579,1998,5709,19980701,8.627544693,1,-0.021147023,1.525486908,9.882260097,5.480348772,4.609772983,0.270519082,2.070463176,9.291920359,0.060411919,0.202991453,8.457569315,6
15579,1999,5709,19990701,9.687253357,1,1.321740633,-0.021147023,10.8998635,6.459297682,5.149248691,0.43173972,3.393331111,9.328212293,0.033896551,0.115310167,8.627544693,7
15579,2000,5709,20000701,10.12479382,1,0.541811668,1.321740633,11.97209918,7.484308859,5.549663564,0.411577916,5.610766095,9.617736947,0.01672229,0.180355556,9.687253357,8
15579,2001,5709,20010701,9.768013346,1,-0.441700211,0.541811668,11.94905173,7.48850567,6.276354681,0.438020987,4.920313967,9.782505656,0.015644361,0.145395262,10.12479382,9
15579,2002,5709,20020701,9.866599278,1,-0.34556159,-0.441700211,11.48976695,7.076864713,6.432691944,0.555177865,3.324047912,9.666498594,0.023813086,0.10265237,10.13101456,10
15579,2003,5709,20030701,9.379926852,1,-0.196419873,-0.34556159,10.94085851,6.586028918,6.246541658,0.597369709,2.038362687,9.594241302,0.041943609,0.126243742,9.866599278,11
15579,2005,14274,20050701,7.668093709,0,0.448738432,0.113945404,11.15081435,6.914347436,6.628152322,0.559016907,2.793792007,9.698920387,0.008323082,0.202836879,8.086102536,13
15579,2005,14274,20050701,8.738819163,1,0.448738432,0.113945404,11.15081435,6.914347436,6.628152322,0.559016907,2.793792007,9.698920387,0.008323082,0.202836879,9.577976684,13
15579,2006,14274,20060701,8.480321717,0,-0.103779559,0.448738432,11.53244724,7.34723783,6.786670013,0.643437341,3.606761024,9.62006307,0.012166695,0.231425241,7.668093709,14
15579,2006,14274,20060119,8.683077464,1,0.214188777,-0.274684253,11.53244724,7.34723783,6.786670013,0.643437341,3.606761024,9.62006307,0.012166695,0.231425241,8.738819163,14
15579,2007,14274,20070701,8.35443894,0,0.126001889,-0.103779559,11.18502743,7.116119225,6.756398239,0.677380025,3.182404365,9.541871852,0.000969978,0.163314081,8.480321717,15
15579,2007,14274,20070118,8.160465377,1,0.016345471,0.214188777,11.18502743,7.116119225,6.756398239,0.677380025,3.182404365,9.541871852,0.000969978,0.163314081,8.683077464,15
15579,2008,14274,20080701,8.405031825,0,-0.327073232,0.126001889,11.41648165,7.355188258,6.874245093,0.740321335,3.754262841,9.446834408,0,0.316295765,8.35443894,16
15579,2008,14274,20080125,7.960641281,1,-0.048950473,0.016345471,11.41648165,7.355188258,6.874245093,0.740321335,3.754262841,9.446834408,0,0.316295765,8.160465377,16
15579,2009,14274,20090701,8.105377259,0,-0.02269914,-0.327073232,10.37102492,6.393146158,6.530704009,0.779557468,1.881233408,9.386308455,0,0.262887819,8.405031825,17
15579,2009,14274,20090129,8.013359689,1,-0.525243335,-0.048950473,10.37102492,6.393146158,6.530704009,0.779557468,1.881233408,9.386308455,0,0.262887819,7.960641281,17
15579,2010,14274,20100701,8.330863613,0,0.022826718,-0.02269914,11.07433813,7.010427234,6.862126234,0.705819696,2.864466959,9.40261226,0,0.221672398,8.105377259,18
15579,2010,14274,20100128,8.362470184,1,0.498334189,-0.525243335,11.07433813,7.010427234,6.862126234,0.705819696,2.864466959,9.40261226,0,0.221672398,8.013359689,18
15579,2011,14274,20110701,8.555548145,0,0.202068657,0.022826718,11.57350762,7.397979234,7.004801519,0.708032334,3.052453548,9.503159229,0,0.315207525,8.330863613,19
15579,2011,14274,20110127,8.646736225,1,0.502560654,0.498334189,11.57350762,7.397979234,7.004801519,0.708032334,3.052453548,9.503159229,0,0.315207525,8.362470184,19
15579,2012,14274,20120701,8.541824924,0,-0.085739724,0.202068657,11.30849718,7.174653154,6.892647816,0.676508199,2.084001892,9.928082599,0.130911788,0.242966943,8.555548145,20
15579,2012,14274,20120126,8.340355274,1,-0.046743628,0.502560654,11.30849718,7.174653154,6.892647816,0.676508199,2.084001892,9.928082599,0.130911788,0.242966943,8.646736225,20
20626,1993,301,19930701,7.657624988,1,-0.008444764,0.007545238,9.344854189,5.321485612,5.126930486,0.799314144,1.297386445,10.14096784,0.227009407,0.076555991,0,1
20626,1994,301,19940701,7.620294908,1,0.106452237,-0.008444764,9.352756812,5.514021771,5.518189303,0.759892622,1.295749088,10.146669,0.210118104,0.074763407,7.657624988,2
20626,1995,301,19950701,7.590827776,1,0.009238833,0.106452237,9.946375519,6.005236935,5.455338073,0.832216683,1.392711311,10.18663436,0.177930352,0.103313076,7.620294908,3
20626,1997,1611,19970701,7.815072808,1,0.211858893,-0.05086404,9.549786758,5.582140143,5.217517079,0.776858648,1.443613226,10.11350534,0.153516724,0.144135358,7.61521814,5
20626,1998,1611,19980701,6.879781309,1,-0.094317244,0.211858893,10.06583838,6.053033778,5.161056467,0.778014168,1.63473386,10.08751599,0.159240685,0.14805658,7.815072808,6
20626,1999,1611,19990701,6.799793853,1,0.305449927,-0.094317244,9.946520701,6.016237471,5.73109853,0.85047981,1.529233891,10.07874253,0.16127154,0.122795341,7.482595675,7
20626,2000,1611,20000701,8.625075162,1,-0.344569103,0.305449927,10.84513234,6.604432375,5.708935354,0.716523512,1.84368239,10.14643373,0.128839288,0.125765841,7.911132438,8
20626,2002,10517,20020701,7.311628556,1,-0.22600416,0.207709044,9.777684311,5.580361926,5.380275849,0.634475045,1.579259295,10.47773858,0.194036472,0.06471333,7.365919789,10
20626,2004,1611,20040701,8.126710879,0,0.113849669,0.206227565,10.71540694,6.541480826,6.157101463,0.629111842,1.701321404,10.64285016,0.183934193,0.097138668,8.782465531,12
20626,2004,1611,20040701,7.979373796,1,0.113849669,0.206227565,10.71540694,6.541480826,6.157101463,0.629111842,1.701321404,10.64285016,0.183934193,0.097138668,7.901393298,12
20626,2006,26094,20060101,8.419153808,1,-0.180237333,0.161629903,9.983279693,5.640857644,4.99261765,0.248196486,1.589035919,10.73498263,0.146676068,0.098398169,7.930600781,14
20626,2007,26094,20070701,8.562510666,0,0.198534416,-0.31133242,9.461990205,5.493978374,5.581520739,0.318821412,1.464255609,10.72726818,0.143027875,0.090564723,0,15
20626,2007,26094,20070216,8.314237773,1,-0.031351252,-0.24963523,9.461990205,5.493978374,5.581520739,0.318821412,1.464255609,10.72726818,0.143027875,0.090564723,8.419153808,15
20626,2008,26094,20080701,8.612732436,0,-0.255691318,0.198534416,9.701163164,5.787885907,6.025106136,0.355650148,1.362293132,10.79552658,0.14613139,0.098374323,8.562510666,16
20626,2008,26094,20080215,7.584720658,1,-0.173232354,-0.031351252,9.701163164,5.787885907,6.025106136,0.355650148,1.362293132,10.79552658,0.14613139,0.098374323,8.314237773,16
20626,2009,26094,20090701,8.842473026,0,-0.370641269,-0.255691318,8.798012939,4.723012614,5.136310369,0.401294895,1.009618269,10.724918,0.258236623,0.096534907,8.612732436,17
20626,2009,26094,20090213,7.080553434,1,-0.813146224,-0.173232354,8.798012939,4.723012614,5.136310369,0.401294895,1.009618269,10.724918,0.258236623,0.096534907,7.584720658,17
