permno,fyear,EXECID,grantdate,P_month,T,r,sigma,d,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo
17726,2009,12592,20090131,1,10,0.03527,0.27132,0.00000,0,-0.24648,0.06307,8.721,10.579,6.185,3.955,0.89457,1.49800,8.82099,0.32885,0.06047
17726,2009,12592,20090731,7,10,0.03527,0.27132,0.00000,1,-0.11302,0.10975,0.000,10.579,6.185,3.955,0.89457,1.49800,8.82099,0.32885,0.06047
17726,2010,12592,20100131,1,10,0.03237,0.27501,0.00000,0,0.29046,-0.16680,8.779,10.865,6.372,2.452,0.85570,1.63330,8.78462,0.26226,0.11160
17726,2010,12592,20100731,7,10,0.03237,0.27501,0.00000,1,0.10469,-0.11302,0.000,10.865,6.372,2.452,0.85570,1.63330,8.78462,0.26226,0.11160
17726,2011,12592,20110228,2,10,0.01961,0.30599,0.00000,0,0.39683,0.26416,8.837,11.119,6.589,1.713,0.88254,1.76511,8.83928,0.25030,0.09032
17726,2011,12592,20110731,7,10,0.01961,0.30599,0.00000,1,0.37691,0.10469,0.000,11.119,6.589,1.713,0.88254,1.76511,8.83928,0.25030,0.09032
19561,2007,23288,20070731,7,10,0.04018,0.16104,0.01411,0,0.27370,0.12209,0.000,10.613,6.225,4.825,0.08795,2.20839,10.85505,0.08339,0.12486
19561,2007,23288,20070228,2,10,0.04018,0.16104,0.01411,1,0.14364,0.27376,8.810,10.613,6.225,4.825,0.08795,2.20839,10.85505,0.08339,0.12486
19561,2008,23288,20080731,7,10,0.02391,0.17581,0.01448,0,-0.42636,0.27370,0.000,10.638,6.375,5.722,0.24211,1.93965,10.98507,0.07182,0.18504
19561,2008,23288,20080229,2,10,0.02391,0.17581,0.01448,1,-0.08849,0.14364,8.646,10.638,6.375,5.722,0.24211,1.93965,10.98507,0.07182,0.18504
19561,2009,23288,20090731,7,10,0.03527,0.26886,0.02209,0,-0.62638,-0.08849,0.000,9.890,5.543,5.630,0.44275,1.57799,10.89266,0.08852,-0.00680
19561,2009,23288,20090228,2,10,0.03527,0.26886,0.02209,1,-0.62638,-0.08849,8.484,9.890,5.543,5.630,0.44275,1.57799,10.89266,0.08852,-0.00680
